Query Results (1465 answers): 
x       | y                                
A010766 | N.J.A.Sloane                     
A009445 | JoeKeane                         
A000786 | N.J.A.Sloane                     
A039755 | RuediSuter                       
A000582 | N.J.A.Sloane                     
A001020 | N.J.A.Sloane                     
A005158 | N.J.A.Sloane                     
A006950 | WarrenD.Smith                    
A023878 | OlivierGA(c)rard                 
A007290 | SimonPlouffe                     
A000354 | N.J.A.Sloane                     
A000749 | N.J.A.Sloane                     
A005061 | N.J.A.Sloane                     
A050999 | EricW.Weisstein                  
A051001 | EricW.Weisstein                  
A030186 | OttavioD'Antona                  
A048887 | ClarkKimberling                  
A036691 | FeliceRusso                      
A002450 | N.J.A.Sloane                     
A006862 | N.J.A.Sloane                     
A000676 | N.J.A.Sloane                     
A201101 | R.H.Hardin                       
A025426 | DavidW.Wilson                    
A011260 | N.J.A.Sloane                     
A000404 | J.H.Conway                       
A033630 | MarcLeBrun                       
A132050 | WolfdieterLang                   
A006208 | N.J.A.Sloane                     
A008860 | R.K.Guy                          
A006530 | N.J.A.Sloane                     
A028347 | N.J.A.Sloane                     
A001463 | N.J.A.Sloane                     
A006561 | BjornPoonen                      
A048138 | NaohiroNomoto                    
A072966 | LiorManor                        
A009179 | R.H.Hardin                       
A007598 | RobertG.Wilsonv                  
A028236 | N.J.A.Sloane                     
A049455 | N.J.A.Sloane                     
A008970 | N.J.A.Sloane                     
A003519 | N.J.A.Sloane                     
A020482 | DavidW.Wilson                    
A000754 | N.J.A.Sloane                     
A008441 | N.J.A.Sloane                     
A002808 | N.J.A.Sloane                     
A000420 | N.J.A.Sloane                     
A003500 | N.J.A.Sloane                     
A002218 | N.J.A.Sloane                     
A029635 | MohammadK.Azarian                
A049456 | N.J.A.Sloane                     
A003881 | SimonPlouffe                     
A001901 | N.J.A.Sloane                     
A027375 | N.J.A.Sloane                     
A000217 | N.J.A.Sloane                     
A010762 | SimonPlouffe                     
A025474 | DavidW.Wilson                    
A026838 | ClarkKimberling                  
A003600 | MiraBernstein                    
A047209 | N.J.A.Sloane                     
A004001 | N.J.A.Sloane                     
A000120 | N.J.A.Sloane                     
A000213 | N.J.A.Sloane                     
A001970 | N.J.A.Sloane                     
A000757 | N.J.A.Sloane                     
A003602 | MiraBernstein                    
A002203 | N.J.A.Sloane                     
A007569 | BjornPoonen                      
A006748 | N.J.A.Sloane                     
A000081 | N.J.A.Sloane                     
A039683 | WouterMeeussen                   
A001057 | N.J.A.Sloane                     
A006190 | N.J.A.Sloane                     
A001190 | N.J.A.Sloane                     
A057089 | WolfdieterLang                   
A026150 | N.J.A.Sloane                     
A009194 | DavidW.Wilson                    
A051168 | ClarkKimberling                  
A051044 | EricW.Weisstein                  
A005748 | SimonPlouffe                     
A035342 | WolfdieterLang                   
A000521 | N.J.A.Sloane                     
A008955 | N.J.A.Sloane                     
A006882 | RobertMunafo                     
A002965 | N.J.A.Sloane                     
A027642 | N.J.A.Sloane                     
A014206 | N.J.A.Sloane                     
A049108 | LabosElemer                      
A002572 | N.J.A.Sloane                     
A034851 | N.J.A.Sloane                     
A005917 | N.J.A.Sloane                     
A038003 | ChristianG.Bower                 
A005040 | N.J.A.Sloane                     
A004593 | N.J.A.Sloane                     
A014284 | DeepanMajmudar                   
A023691 | OlivierGA(c)rard                 
A000784 | N.J.A.Sloane                     
A015338 | OlivierGA(c)rard                 
A022567 | N.J.A.Sloane                     
A000978 | RobertG.Wilsonv                  
A025732 | DavidW.Wilson                    
A014707 | N.J.A.Sloane                     
A038507 | N.J.A.Sloane                     
A008555 | N.J.A.Sloane                     
A002042 | N.J.A.Sloane                     
A003517 | N.J.A.Sloane                     
A000514 | RobertG.Wilsonv                  
A008517 | N.J.A.Sloane                     
A004606 | N.J.A.Sloane                     
A073783 | LiorManor                        
A000015 | N.J.A.Sloane                     
A004467 | AlbertD.Rich                     
A023690 | OlivierGA(c)rard                 
A047761 | N.J.A.Sloane                     
A001761 | N.J.A.Sloane                     
A000034 | N.J.A.Sloane                     
A028364 | WouterMeeussen                   
A049050 | DavidW.Wilson                    
A037952 | N.J.A.Sloane                     
A000007 | N.J.A.Sloane                     
A002939 | N.J.A.Sloane                     
A009123 | R.H.Hardin                       
A054377 | EricW.Weisstein                  
A037834 | ClarkKimberling                  
A001024 | N.J.A.Sloane                     
A033552 | MarcLeBrun                       
A019673 | N.J.A.Sloane                     
A000182 | N.J.A.Sloane                     
A029885 | N.J.A.Sloane                     
A033439 | N.J.A.Sloane                     
A000324 | N.J.A.Sloane                     
A005117 | N.J.A.Sloane                     
A000245 | N.J.A.Sloane                     
A002623 | N.J.A.Sloane                     
A006982 | N.J.A.Sloane                     
A010815 | N.J.A.Sloane                     
A015287 | OlivierGA(c)rard                 
A000112 | N.J.A.Sloane                     
A002436 | N.J.A.Sloane                     
A045623 | WolfdieterLang                   
A001203 | N.J.A.Sloane                     
A019273 | JudMcCranie                      
A002057 | N.J.A.Sloane                     
A003518 | N.J.A.Sloane                     
A020950 | ClarkKimberling                  
A046660 | N.J.A.Sloane                     
A003159 | SimonPlouffe                     
A008953 | N.J.A.Sloane                     
A000609 | N.J.A.Sloane                     
A001065 | R.K.Guy                          
A040027 | HenryGould                       
A003215 | N.J.A.Sloane                     
A053122 | WolfdieterLang                   
A006746 | N.J.A.Sloane                     
A046051 | EricW.Weisstein                  
A003020 | N.J.A.Sloane                     
A014192 | N.J.A.Sloane                     
A026375 | ClarkKimberling                  
A009545 | R.H.Hardin                       
A003278 | RichardStanley                   
A002275 | N.J.A.Sloane                     
A005817 | N.J.A.Sloane                     
A024166 | ClarkKimberling                  
A007895 | ClarkKimberling                  
A033842 | WolfdieterLang                   
A005900 | N.J.A.Sloane                     
A025427 | DavidW.Wilson                    
A001834 | N.J.A.Sloane                     
A014313 | AlBlack                          
A011557 | N.J.A.Sloane                     
A001858 | SimonPlouffe                     
A048142 | WouterMeeussen                   
A000244 | N.J.A.Sloane                     
A142239 | followingasuggestionfromRobMiller
A002033 | N.J.A.Sloane                     
A039735 | BrendanMcKay                     
A051296 | LeroyQuet                        
A016125 | N.J.A.Sloane                     
A048691 | DavidJohnson-Davies              
A005156 | N.J.A.Sloane                     
A003158 | N.J.A.Sloane                     
A010056 | N.J.A.Sloane                     
A000387 | N.J.A.Sloane                     
A001055 | N.J.A.Sloane                     
A049027 | WolfdieterLang                   
A049684 | ClarkKimberling                  
A002430 | N.J.A.Sloane                     
A030237 | WouterMeeussen                   
A036506 | N.J.A.Sloane                     
A008965 | PaulZimmermann                   
A002175 | N.J.A.Sloane                     
A006013 | N.J.A.Sloane                     
A001470 | SimonPlouffe                     
A005266 | N.J.A.Sloane                     
A013189 | JamesPropp                       
A006645 | N.J.A.Sloane                     
A010790 | N.J.A.Sloane                     
A035002 | ErichFriedman                    
A001244 | RobertG.Wilsonv                  
A040001 | N.J.A.Sloane                     
A002620 | N.J.A.Sloane                     
A001576 | N.J.A.Sloane                     
A000051 | N.J.A.Sloane                     
A049061 | N.J.A.Sloane                     
A005804 | N.J.A.Sloane                     
A014410 | MohammadK.Azarian                
A000322 | N.J.A.Sloane                     
A017641 | N.J.A.Sloane                     
A020653 | DavidW.Wilson                    
A000700 | N.J.A.Sloane                     
A142238 | followingasuggestionfromRobMiller
A048144 | N.J.A.Sloane                     
A038505 | FrankRuskey                      
A039956 | R.K.Guy                          
A004599 | N.J.A.Sloane                     
A011117 | RobertSulanke                    
A000028 | SimonPlouffe                     
A006480 | N.J.A.Sloane                     
A002478 | N.J.A.Sloane                     
A038548 | N.J.A.Sloane                     
A000577 | N.J.A.Sloane                     
A010683 | N.J.A.Sloane                     
A056303 | MarksR.Nester                    
A004018 | N.J.A.Sloane                     
A001924 | N.J.A.Sloane                     
A038327 | N.J.A.Sloane                     
A053120 | WolfdieterLang                   
A002283 | N.J.A.Sloane                     
A027914 | ClarkKimberling                  
A045931 | DavidW.Wilson                    
A002457 | N.J.A.Sloane                     
A001298 | N.J.A.Sloane                     
A030133 | N.J.A.Sloane                     
